Date,Open,High,Low,Close,Volume
1/1/2019 0:00,3830.5,3846.2,3822.4,3835.16,1032854.96
1/1/2019 1:00,3835.16,3840.1,3819,3829.15,1440314.68
1/1/2019 2:00,3829.15,3834.2,3810.2,3817.4,1624863.73
1/1/2019 3:00,3817.4,3832.3,3817.3,3828.4,676778.97
1/1/2019 4:00,3828.4,3844.9,3824.5,3825,1179209.23
1/1/2019 5:00,3825,3833.3,3823,3833.3,567718.43
1/1/2019 6:00,3833.3,3839.1,3827.3,3833.21,752878.69
1/1/2019 7:00,3833.21,3868,3833.21,3851,3354240.14
1/1/2019 8:00,3851,3868,3846.6,3859.6,1352926.8
1/1/2019 9:00,3859.6,3863.3,3843.1,3844,588982.04
1/1/2019 10:00,3844,3858.8,3844,3855.6,517555.93
1/1/2019 11:00,3855.6,3865,3850.6,3850.6,1174192.76
1/1/2019 12:00,3850.6,3871.7,3846.22,3865.9,1537813.82
1/1/2019 13:00,3865.9,3894.9,3853.9,3866.1,2179758.1
1/1/2019 14:00,3866.1,3866.2,3833,3839.3,2097498.36
1/1/2019 15:00,3839.3,3842.7,3810,3822.79,1457571.33
1/1/2019 16:00,3822.79,3842,3818.7,3832,1025019.66
1/1/2019 17:00,3832,3843.4,3824,3827.3,1063254.06
1/1/2019 18:00,3827.3,3828.5,3788.1,3798.27,2879600.76
1/1/2019 19:00,3798.27,3846.4,3797.1,3844.4,1588774.91
1/1/2019 20:00,3844.4,3909.26,3840.3,3888.7,10826187.55
1/1/2019 21:00,3888.7,3905.6,3856.5,3866,4712820.11
1/1/2019 22:00,3866,3870,3857,3869.9,1061443.16
1/1/2019 23:00,3869.9,3987,3865.9,3963.1,8887163.89
2/1/2019 0:00,3963.1,3980.2,3938.6,3948.9,2928345.61
2/1/2019 1:00,3948.9,3958,3937.5,3939.7,776266.64
2/1/2019 2:00,3939.7,3953.2,3939,3951.3,805561.19
2/1/2019 3:00,3951.3,3970.9,3947.5,3948.4,3019122.66
2/1/2019 4:00,3948.4,3968.68,3935,3946.1,1149817.18
2/1/2019 5:00,3946.1,3946.2,3937.6,3940.7,678867.2
2/1/2019 6:00,3940.7,3942,3917.9,3924.9,1270073.94
2/1/2019 7:00,3924.9,3947,3919.31,3933.4,4230883.36
2/1/2019 8:00,3933.4,3965.2,3933.4,3944.3,2175055.35
2/1/2019 9:00,3944.3,3965.4,3932.5,3936,2398372.87
2/1/2019 10:00,3936,3959.6,3926.6,3956.8,5922305.22
2/1/2019 11:00,3956.8,3973.1,3942.7,3951.8,2458293.05
2/1/2019 12:00,3951.8,3957.9,3936.44,3955,1391632.88
2/1/2019 13:00,3955,4036,3954.9,3994.7,12303268.03
2/1/2019 14:00,3994.7,4006,3971.7,3987,4137118
2/1/2019 15:00,3987,3987,3964.8,3975.1,1982370.85
2/1/2019 16:00,3975.1,4047,3971.6,4009.4,7271984.12
2/1/2019 17:00,4009.4,4025,3996.8,3999,2687038.77
2/1/2019 18:00,3999,4006.6,3981.1,3999.8,2394733.14
2/1/2019 19:00,3999.8,4006.1,3966.5,4003.4,2479343.28
2/1/2019 20:00,4003.4,4041.3,3988.64,4040.06,3067668.01
2/1/2019 21:00,4040.06,4063,4016.2,4040.2,3524962.59
2/1/2019 22:00,4040.2,4063.12,4018.7,4048.15,2813050.01
2/1/2019 23:00,4048.15,4083.47,4047.6,4048.8,5476102.36
3/1/2019 0:00,4048.8,4056.64,4016.2,4016.4,2122705.57
3/1/2019 1:00,4016.4,4026.3,3999.1,4023.9,2498162.04
3/1/2019 2:00,4023.9,4031,4012.2,4020,729858.55
3/1/2019 3:00,4020,4025,4019.9,4024.9,360726.72
3/1/2019 4:00,4024.9,4028,4014.3,4014.4,685145.9
3/1/2019 5:00,4014.4,4014.5,3981,3996.1,1991951.25
3/1/2019 6:00,3996.1,4004,3988.7,3996,559622.34
3/1/2019 7:00,3996,4011.5,3995.9,4001.8,2077457.25
3/1/2019 8:00,4001.8,4001.9,3973,3977.7,2956401.52
3/1/2019 9:00,3977.7,3987.2,3960,3985.9,3592075.66
